"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
2	0.895567739693005	4	4	"Churn"	"Yes"	0.1
3	0.894320370659587	4	4	"Churn"	"Yes"	0.1
4	0.908906412372394	4	4	"Churn"	"Yes"	0.1
5	0.902350164203612	4	4	"Churn"	"Yes"	0.1
6	0.91746236837005	4	4	"Churn"	"Yes"	0.1
7	0.899349014530283	4	4	"Churn"	"Yes"	0.1
8	0.917915273132664	4	4	"Churn"	"Yes"	0.1
9	0.893478129713424	4	4	"Churn"	"Yes"	0.1
10	0.851463930634571	4	4	"Churn"	"Yes"	0.1
11	0.891746551321019	4	4	"Churn"	"Yes"	0.1
12	0.896232166808926	4	4	"Churn"	"Yes"	0.1
13	0.895812971342383	4	4	"Churn"	"Yes"	0.1
14	0.902447508221604	4	4	"Churn"	"Yes"	0.1
15	0.936759698844291	4	4	"Churn"	"Yes"	0.1
16	0.888632332028558	4	4	"Churn"	"Yes"	0.1
17	0.888739514540251	4	4	"Churn"	"Yes"	0.1
18	0.921072603086264	4	4	"Churn"	"Yes"	0.1
19	0.919408121993192	4	4	"Churn"	"Yes"	0.1
20	0.883200258955546	4	4	"Churn"	"Yes"	0.1
21	0.902390095013046	4	4	"Churn"	"Yes"	0.1
22	0.891082721983304	4	4	"Churn"	"Yes"	0.1
23	0.873441348522167	4	4	"Churn"	"Yes"	0.1
24	0.867141306356245	4	4	"Churn"	"Yes"	0.1
25	0.909113079336223	4	4	"Churn"	"Yes"	0.1
26	0.855925329124053	4	4	"Churn"	"Yes"	0.1
27	0.893331856446611	4	4	"Churn"	"Yes"	0.1
28	0.849276380863137	4	4	"Churn"	"Yes"	0.1
29	0.91238369517058	4	4	"Churn"	"Yes"	0.1
30	0.872789545277886	4	4	"Churn"	"Yes"	0.1
1	0.860943792184221	5	5	"Churn"	"Yes"	0.1
2	0.910866588787982	5	5	"Churn"	"Yes"	0.1
3	0.918404133479098	5	5	"Churn"	"Yes"	0.1
4	0.901962689467548	5	5	"Churn"	"Yes"	0.1
5	0.889701846307385	5	5	"Churn"	"Yes"	0.1
6	0.917968701599613	5	5	"Churn"	"Yes"	0.1
7	0.909374538472899	5	5	"Churn"	"Yes"	0.1
8	0.839839422492763	5	5	"Churn"	"Yes"	0.1
9	0.868323247142246	5	5	"Churn"	"Yes"	0.1
10	0.87730269909688	5	5	"Churn"	"Yes"	0.1
11	0.931496988588335	5	5	"Churn"	"Yes"	0.1
12	0.911214518921305	5	5	"Churn"	"Yes"	0.1
13	0.889036577561168	5	5	"Churn"	"Yes"	0.1
14	0.894274297856615	5	5	"Churn"	"Yes"	0.1
15	0.937431672653444	5	5	"Churn"	"Yes"	0.1
16	0.885223147554986	5	5	"Churn"	"Yes"	0.1
17	0.874538227729717	5	5	"Churn"	"Yes"	0.1
18	0.917302894211577	5	5	"Churn"	"Yes"	0.1
19	0.879866220735786	5	5	"Churn"	"Yes"	0.1
20	0.868508128326859	5	5	"Churn"	"Yes"	0.1
21	0.908884803921569	5	5	"Churn"	"Yes"	0.1
22	0.917808801644107	5	5	"Churn"	"Yes"	0.1
23	0.899212809048875	5	5	"Churn"	"Yes"	0.1
24	0.915394211576846	5	5	"Churn"	"Yes"	0.1
25	0.913235530994833	5	5	"Churn"	"Yes"	0.1
26	0.890664901163341	5	5	"Churn"	"Yes"	0.1
27	0.865523371326989	5	5	"Churn"	"Yes"	0.1
28	0.921502262443439	5	5	"Churn"	"Yes"	0.1
29	0.896126846094054	5	5	"Churn"	"Yes"	0.1
30	0.915916019955654	5	5	"Churn"	"Yes"	0.1
1	0.906783383939531	6	6	"Churn"	"Yes"	0.1
2	0.908926513890667	6	6	"Churn"	"Yes"	0.1
3	0.929359985329177	6	6	"Churn"	"Yes"	0.1
4	0.824442803197255	6	6	"Churn"	"Yes"	0.1
5	0.937043830486453	6	6	"Churn"	"Yes"	0.1
6	0.912523675601217	6	6	"Churn"	"Yes"	0.1
7	0.917128243512974	6	6	"Churn"	"Yes"	0.1
8	0.879669669297583	6	6	"Churn"	"Yes"	0.1
9	0.879209501232921	6	6	"Churn"	"Yes"	0.1
10	0.890537332757877	6	6	"Churn"	"Yes"	0.1
11	0.907770759078237	6	6	"Churn"	"Yes"	0.1
12	0.852248829400351	6	6	"Churn"	"Yes"	0.1
13	0.929162090574327	6	6	"Churn"	"Yes"	0.1
14	0.814230698697964	6	6	"Churn"	"Yes"	0.1
15	0.823436345158906	6	6	"Churn"	"Yes"	0.1
16	0.898003880697596	6	6	"Churn"	"Yes"	0.1
17	0.88312552490471	6	6	"Churn"	"Yes"	0.1
18	0.860397074190178	6	6	"Churn"	"Yes"	0.1
19	0.880297843808448	6	6	"Churn"	"Yes"	0.1
20	0.88439371257485	6	6	"Churn"	"Yes"	0.1
21	0.929193899782135	6	6	"Churn"	"Yes"	0.1
