"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"
19	0.90846009982489	5	5	"Churn"
20	0.919639859972186	5	5	"Churn"
21	0.898024265093752	5	5	"Churn"
22	0.917740164093288	5	5	"Churn"
23	0.924168636999918	5	5	"Churn"
24	0.926586174242424	5	5	"Churn"
25	0.921694111776447	5	5	"Churn"
26	0.919005070644415	5	5	"Churn"
27	0.953436988543372	5	5	"Churn"
28	0.941142910917411	5	5	"Churn"
29	0.927765125955915	5	5	"Churn"
30	0.943489115620263	5	5	"Churn"
1	0.944427091467541	6	6	"Churn"
2	0.932953130121272	6	6	"Churn"
3	0.965835344596407	6	6	"Churn"
4	0.945516717325228	6	6	"Churn"
5	0.934479041471	6	6	"Churn"
6	0.905774948448664	6	6	"Churn"
7	0.914241960183767	6	6	"Churn"
8	0.931473037645551	6	6	"Churn"
9	0.927127075392467	6	6	"Churn"
10	0.920252206486043	6	6	"Churn"
11	0.935590312935543	6	6	"Churn"
12	0.92560536003159	6	6	"Churn"
13	0.919621876948161	6	6	"Churn"
14	0.91070358823889	6	6	"Churn"
15	0.946460653970535	6	6	"Churn"
16	0.939009232954545	6	6	"Churn"
17	0.927763391031757	6	6	"Churn"
18	0.956117443624943	6	6	"Churn"
19	0.935831254619364	6	6	"Churn"
20	0.92161044973545	6	6	"Churn"
21	0.931738571082833	6	6	"Churn"
22	0.948041099848011	6	6	"Churn"
23	0.931787697730875	6	6	"Churn"
24	0.876244355500821	6	6	"Churn"
25	0.933316468504933	6	6	"Churn"
26	0.897092835454487	6	6	"Churn"
27	0.915493034097685	6	6	"Churn"
28	0.956201394475731	6	6	"Churn"
29	0.954143201930813	6	6	"Churn"
30	0.947938274728055	6	6	"Churn"
1	0.929177689594356	7	7	"Churn"
2	0.945660775520971	7	7	"Churn"
3	0.91183612766798	7	7	"Churn"
4	0.906834073879948	7	7	"Churn"
5	0.954082797024054	7	7	"Churn"
6	0.944573672032688	7	7	"Churn"
7	0.927583321025944	7	7	"Churn"
8	0.943168283137655	7	7	"Churn"
9	0.931897435897436	7	7	"Churn"
10	0.874333909729329	7	7	"Churn"
11	0.921031107535532	7	7	"Churn"
12	0.931394669160627	7	7	"Churn"
13	0.915330462806424	7	7	"Churn"
14	0.937910590245067	7	7	"Churn"
15	0.904646948795885	7	7	"Churn"
16	0.900434613307206	7	7	"Churn"
17	0.896764972460434	7	7	"Churn"
18	0.910133136094675	7	7	"Churn"
19	0.930588822355289	7	7	"Churn"
20	0.91461815798099	7	7	"Churn"
21	0.924414168266627	7	7	"Churn"
22	0.929063199541881	7	7	"Churn"
23	0.923285312517936	7	7	"Churn"
24	0.923009814612868	7	7	"Churn"
25	0.920731217356368	7	7	"Churn"
26	0.939595808383234	7	7	"Churn"
27	0.950172908232119	7	7	"Churn"
28	0.960233484304232	7	7	"Churn"
29	0.916770602365115	7	7	"Churn"
30	0.930276468957871	7	7	"Churn"
1	0.905648802220449	8	8	"Churn"
2	0.929398936895189	8	8	"Churn"
3	0.922582105376011	8	8	"Churn"
4	0.924887724550898	8	8	"Churn"
5	0.927245130280799	8	8	"Churn"
6	0.935111027944112	8	8	"Churn"
7	0.938955965909091	8	8	"Churn"
8	0.948647417909713	8	8	"Churn"
9	0.93214677950772	8	8	"Churn"
10	0.925783083685401	8	8	"Churn"
11	0.891295099290488	8	8	"Churn"
12	0.935863397365818	8	8	"Churn"
13	0.929409141884314	8	8	"Churn"
14	0.933521578470334	8	8	"Churn"
15	0.917010739786616	8	8	"Churn"
16	0.922236776447106	8	8	"Churn"
17	0.948021856840175	8	8	"Churn"
18	0.948878293294211	8	8	"Churn"
19	0.920961007099756	8	8	"Churn"
20	0.937412150554428	8	8	"Churn"
21	0.909307742822803	8	8	"Churn"
22	0.931164133461135	8	8	"Churn"
23	0.911699722204277	8	8	"Churn"
24	0.899392097264438	8	8	"Churn"
25	0.926609922432193	8	8	"Churn"
26	0.906674099649931	8	8	"Churn"
27	0.924547087302827	8	8	"Churn"
28	0.907907196969697	8	8	"Churn"
29	0.941093785364575	8	8	"Churn"
30	0.938398756315585	8	8	"Churn"
1	0.922857466961602	9	9	"Churn"
2	0.936572835412192	9	9	"Churn"
3	0.890501474926254	9	9	"Churn"
4	0.905659186133272	9	9	"Churn"
5	0.928160025741406	9	9	"Churn"
6	0.933859401072516	9	9	"Churn"
7	0.928728402121385	9	9	"Churn"
8	0.889861312065497	9	9	"Churn"
9	0.903652951613677	9	9	"Churn"
10	0.940567421014773	9	9	"Churn"
11	0.931292750964882	9	9	"Churn"
12	0.884926444955728	9	9	"Churn"
13	0.93166614607736	9	9	"Churn"
14	0.927609617466619	9	9	"Churn"
15	0.957299246148804	9	9	"Churn"
16	0.895511939983094	9	9	"Churn"
17	0.929706742610837	9	9	"Churn"
18	0.913429722342109	9	9	"Churn"
19	0.922735778443114	9	9	"Churn"
20	0.938837263782602	9	9	"Churn"
21	0.925966816367266	9	9	"Churn"
22	0.925916417829782	9	9	"Churn"
23	0.925139212195901	9	9	"Churn"
24	0.920429702681695	9	9	"Churn"
25	0.921851325757576	9	9	"Churn"
26	0.93384162851376	9	9	"Churn"
27	0.948226810881678	9	9	"Churn"
28	0.923955785738263	9	9	"Churn"
29	0.909938655358393	9	9	"Churn"
30	0.914982072021633	9	9	"Churn"
1	0.927798202614379	10	10	"Churn"
2	0.913694432137055	10	10	"Churn"
3	0.91755279870034	10	10	"Churn"
4	0.909647331154684	10	10	"Churn"
5	0.927619760479042	10	10	"Churn"
6	0.938410816912972	10	10	"Churn"
7	0.920223474334997	10	10	"Churn"
8	0.947994965357424	10	10	"Churn"
9	0.902390482917914	10	10	"Churn"
10	0.940962357954545	10	10	"Churn"
11	0.898798824329576	10	10	"Churn"
12	0.929303892215569	10	10	"Churn"
13	0.903137852048519	10	10	"Churn"
14	0.931136825572801	10	10	"Churn"
15	0.921358273733113	10	10	"Churn"
16	0.907711884469697	10	10	"Churn"
17	0.925518523651146	10	10	"Churn"
18	0.955930397727273	10	10	"Churn"
19	0.898962436241533	10	10	"Churn"
20	0.872913290876889	10	10	"Churn"
21	0.924997941442872	10	10	"Churn"
22	0.931751227495908	10	10	"Churn"
23	0.934801723379935	10	10	"Churn"
24	0.93237826344592	10	10	"Churn"
25	0.938718840358185	10	10	"Churn"
26	0.89716276477146	10	10	"Churn"
27	0.950143651812458	10	10	"Churn"
28	0.901110279441118	10	10	"Churn"
29	0.923170164926957	10	10	"Churn"
30	0.910110740375342	10	10	"Churn"
1	0.897489458066531	11	11	"Churn"
2	0.884572627757926	11	11	"Churn"
3	0.916762957580378	11	11	"Churn"
4	0.890793985755737	11	11	"Churn"
5	0.926138938269023	11	11	"Churn"
6	0.920317891874935	11	11	"Churn"
7	0.924923058712121	11	11	"Churn"
8	0.93399581201135	11	11	"Churn"
9	0.920300444236615	11	11	"Churn"
10	0.925552430695058	11	11	"Churn"
11	0.908064838667937	11	11	"Churn"
12	0.908616841133005	11	11	"Churn"
13	0.933726911386486	11	11	"Churn"
14	0.877631515849039	11	11	"Churn"
15	0.959343819290466	11	11	"Churn"
16	0.88653607073559	11	11	"Churn"
17	0.898334112695815	11	11	"Churn"
18	0.912241657556354	11	11	"Churn"
19	0.8625	11	11	"Churn"
20	0.922611996382488	11	11	"Churn"
21	0.940073351753875	11	11	"Churn"
22	0.931620639534884	11	11	"Churn"
23	0.895545943418284	11	11	"Churn"
24	0.932844199070161	11	11	"Churn"
25	0.906462075848303	11	11	"Churn"
26	0.910623331098328	11	11	"Churn"
27	0.90126621756487	11	11	"Churn"
28	0.928551982303897	11	11	"Churn"
29	0.956335881645954	11	11	"Churn"
30	0.941610753571592	11	11	"Churn"
1	0.910455507205877	12	12	"Churn"
2	0.935533894550288	12	12	"Churn"
3	0.92658130724596	12	12	"Churn"
4	0.896201668019433	12	12	"Churn"
5	0.96849468255055	12	12	"Churn"
6	0.890922561212592	12	12	"Churn"
7	0.896283143939394	12	12	"Churn"
8	0.89884825575595	12	12	"Churn"
9	0.893247022735475	12	12	"Churn"
10	0.864745508982036	12	12	"Churn"
11	0.903065978273976	12	12	"Churn"
12	0.905562561300266	12	12	"Churn"
13	0.945242382667353	12	12	"Churn"
14	0.94592588262801	12	12	"Churn"
15	0.920553674055829	12	12	"Churn"
16	0.901231060606061	12	12	"Churn"
17	0.936392156862745	12	12	"Churn"
18	0.922111874773916	12	12	"Churn"
19	0.942515837104072	12	12	"Churn"
20	0.950462791999714	12	12	"Churn"
21	0.908130699088146	12	12	"Churn"
22	0.864121685606061	12	12	"Churn"
23	0.89164343437908	12	12	"Churn"
24	0.929544912135258	12	12	"Churn"
25	0.867178060325237	12	12	"Churn"
26	0.898053676742201	12	12	"Churn"
27	0.907055754069537	12	12	"Churn"
28	0.906829248049577	12	12	"Churn"
29	0.893581664621726	12	12	"Churn"
30	0.891723210465187	12	12	"Churn"
1	0.901911695075758	13	13	"Churn"
2	0.915821934154828	13	13	"Churn"
3	0.908294314381271	13	13	"Churn"
4	0.902249689113313	13	13	"Churn"
5	0.909024364739099	13	13	"Churn"
6	0.930120041991875	13	13	"Churn"
7	0.92062749500998	13	13	"Churn"
8	0.917417681155504	13	13	"Churn"
9	0.916879585125221	13	13	"Churn"
10	0.932394563542104	13	13	"Churn"
11	0.923943738092986	13	13	"Churn"
12	0.912063563915328	13	13	"Churn"
13	0.94520572579485	13	13	"Churn"
14	0.910636346964973	13	13	"Churn"
15	0.910631741140216	13	13	"Churn"
16	0.8974609375	13	13	"Churn"
17	0.904906423874557	13	13	"Churn"
18	0.904214406430064	13	13	"Churn"
19	0.906697836551762	13	13	"Churn"
20	0.904287882620794	13	13	"Churn"
21	0.90710207992335	13	13	"Churn"
22	0.919698386719663	13	13	"Churn"
23	0.90814230698698	13	13	"Churn"
24	0.880458521870287	13	13	"Churn"
25	0.857731523378582	13	13	"Churn"
26	0.881066176470588	13	13	"Churn"
27	0.906607054148038	13	13	"Churn"
28	0.947457013574661	13	13	"Churn"
29	0.91090427202271	13	13	"Churn"
30	0.87491338691796	13	13	"Churn"
1	0.901937771257412	14	14	"Churn"
2	0.911289920159681	14	14	"Churn"
3	0.90442081425688	14	14	"Churn"
4	0.927964850095998	14	14	"Churn"
5	0.877158371040724	14	14	"Churn"
6	0.921130465279401	14	14	"Churn"
7	0.89573271780303	14	14	"Churn"
8	0.89768258763727	14	14	"Churn"
9	0.880883938196191	14	14	"Churn"
10	0.902453740949316	14	14	"Churn"
11	0.934457563712883	14	14	"Churn"
12	0.901981459761819	14	14	"Churn"
13	0.923068145510977	14	14	"Churn"
