"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
9	0.920574017328825	4	4	"Churn"	"Yes"	0
10	0.936105489501644	4	4	"Churn"	"Yes"	0
11	0.928427776372375	4	4	"Churn"	"Yes"	0
12	0.923969834087481	4	4	"Churn"	"Yes"	0
13	0.925620793687631	4	4	"Churn"	"Yes"	0
14	0.916283028820793	4	4	"Churn"	"Yes"	0
15	0.904720081972667	4	4	"Churn"	"Yes"	0
16	0.926172654690619	4	4	"Churn"	"Yes"	0
17	0.928521543560606	4	4	"Churn"	"Yes"	0
18	0.913951429294207	4	4	"Churn"	"Yes"	0
19	0.920986560330823	4	4	"Churn"	"Yes"	0
20	0.916299067179541	4	4	"Churn"	"Yes"	0
21	0.932290650289847	4	4	"Churn"	"Yes"	0
22	0.914922843114332	4	4	"Churn"	"Yes"	0
23	0.919155801683164	4	4	"Churn"	"Yes"	0
24	0.921468569364162	4	4	"Churn"	"Yes"	0
25	0.907364948348555	4	4	"Churn"	"Yes"	0
26	0.902347979068928	4	4	"Churn"	"Yes"	0
27	0.916426893012996	4	4	"Churn"	"Yes"	0
28	0.869813176007866	4	4	"Churn"	"Yes"	0
29	0.925308000126036	4	4	"Churn"	"Yes"	0
30	0.922768210423183	4	4	"Churn"	"Yes"	0
1	0.907119476268412	5	5	"Churn"	"Yes"	0
2	0.945160169082938	5	5	"Churn"	"Yes"	0
3	0.937266470009833	5	5	"Churn"	"Yes"	0
4	0.93229705114951	5	5	"Churn"	"Yes"	0
5	0.880158625441644	5	5	"Churn"	"Yes"	0
6	0.93558179587892	5	5	"Churn"	"Yes"	0
7	0.915402448189333	5	5	"Churn"	"Yes"	0
8	0.906899109792285	5	5	"Churn"	"Yes"	0
9	0.908158944136641	5	5	"Churn"	"Yes"	0
10	0.91889872173058	5	5	"Churn"	"Yes"	0
11	0.911293832562845	5	5	"Churn"	"Yes"	0
12	0.871151617053256	5	5	"Churn"	"Yes"	0
13	0.92413410110421	5	5	"Churn"	"Yes"	0
14	0.925557796931353	5	5	"Churn"	"Yes"	0
15	0.933469927454227	5	5	"Churn"	"Yes"	0
16	0.928979540918164	5	5	"Churn"	"Yes"	0
17	0.923038512311313	5	5	"Churn"	"Yes"	0
18	0.927982976729658	5	5	"Churn"	"Yes"	0
19	0.943050181835082	5	5	"Churn"	"Yes"	0
20	0.93331968512257	5	5	"Churn"	"Yes"	0
21	0.918553245239021	5	5	"Churn"	"Yes"	0
22	0.896494216589038	5	5	"Churn"	"Yes"	0
23	0.941507569608639	5	5	"Churn"	"Yes"	0
