"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
6	0.921206965004821	5	5	"Churn"	0
7	0.932471422458585	5	5	"Churn"	0
8	0.923599640497474	5	5	"Churn"	0
9	0.898236061482616	5	5	"Churn"	0
10	0.914326661484648	5	5	"Churn"	0
11	0.922291499061411	5	5	"Churn"	0
12	0.927104278700023	5	5	"Churn"	0
13	0.895835212919524	5	5	"Churn"	0
14	0.921598381385938	5	5	"Churn"	0
15	0.948565299007777	5	5	"Churn"	0
16	0.917843075743316	5	5	"Churn"	0
17	0.922110079872017	5	5	"Churn"	0
18	0.905208089782558	5	5	"Churn"	0
19	0.912494651262302	5	5	"Churn"	0
20	0.922457026457169	5	5	"Churn"	0
21	0.926105580693816	5	5	"Churn"	0
22	0.909309533375423	5	5	"Churn"	0
23	0.900033960542095	5	5	"Churn"	0
24	0.919745679970827	5	5	"Churn"	0
25	0.915674603174603	5	5	"Churn"	0
26	0.912085216121229	5	5	"Churn"	0
27	0.935381135766245	5	5	"Churn"	0
28	0.910522011721412	5	5	"Churn"	0
29	0.904594063204335	5	5	"Churn"	0
30	0.908253983676642	5	5	"Churn"	0
1	0.934750306867369	6	6	"Churn"	0
2	0.889650170239294	6	6	"Churn"	0
3	0.916881613756614	6	6	"Churn"	0
4	0.943226733740568	6	6	"Churn"	0
5	0.930494820136394	6	6	"Churn"	0
6	0.951676776127728	6	6	"Churn"	0
7	0.922835578842315	6	6	"Churn"	0
8	0.938959580838323	6	6	"Churn"	0
9	0.946379592222778	6	6	"Churn"	0
10	0.942205977457502	6	6	"Churn"	0
11	0.914245106273015	6	6	"Churn"	0
12	0.924898530840908	6	6	"Churn"	0
13	0.951219221651756	6	6	"Churn"	0
14	0.957203389830508	6	6	"Churn"	0
15	0.933542494596667	6	6	"Churn"	0
16	0.926030766828049	6	6	"Churn"	0
17	0.915304744322054	6	6	"Churn"	0
18	0.942892539340298	6	6	"Churn"	0
19	0.940934455689019	6	6	"Churn"	0
20	0.900611677251022	6	6	"Churn"	0
21	0.942142353770261	6	6	"Churn"	0
22	0.923800904977376	6	6	"Churn"	0
23	0.931188725490196	6	6	"Churn"	0
24	0.923492711700981	6	6	"Churn"	0
25	0.925490720572688	6	6	"Churn"	0
26	0.888635711415944	6	6	"Churn"	0
27	0.944996492868833	6	6	"Churn"	0
28	0.922146830490861	6	6	"Churn"	0
29	0.925386726546906	6	6	"Churn"	0
30	0.949821463272445	6	6	"Churn"	0
1	0.939603256946951	7	7	"Churn"	0
2	0.862666297117517	7	7	"Churn"	0
3	0.931244769359523	7	7	"Churn"	0
4	0.932101449275362	7	7	"Churn"	0
5	0.933160208226619	7	7	"Churn"	0
6	0.922696208112875	7	7	"Churn"	0
7	0.915358664772727	7	7	"Churn"	0
8	0.931245141857754	7	7	"Churn"	0
9	0.9212479302417	7	7	"Churn"	0
10	0.903337587659709	7	7	"Churn"	0
11	0.938943522194154	7	7	"Churn"	0
12	0.930092804837251	7	7	"Churn"	0
13	0.958278672900759	7	7	"Churn"	0
14	0.936968375136314	7	7	"Churn"	0
15	0.909870286576169	7	7	"Churn"	0
16	0.91836515896935	7	7	"Churn"	0
17	0.924839233275924	7	7	"Churn"	0
18	0.920768862111461	7	7	"Churn"	0
19	0.927551807760141	7	7	"Churn"	0
20	0.939710242881437	7	7	"Churn"	0
21	0.938555358637326	7	7	"Churn"	0
